,Year,Country_Name,Value
11129,2022.0,Algeria,7.22261853514544
11130,2022.0,Azerbaijan,89.96851503759399
11131,2022.0,Antarctica,15.290909090909093
11132,2022.0,Kuwait,17.688172043010752
11133,2022.0,Morocco,10.994836488812393
11134,2022.0,Norway,35.24907662037303
11135,2022.0,Paraguay,100.52880075542966
11136,2022.0,Qatar,6.458333333333333
11137,2022.0,Botswana,21.935064935064936
11962,2022.0,Falkland Is.,11.447222222222225
12174,2022.0,Israel,10.770123839009289
12175,2022.0,Lithuania,28.78898128898129
12176,2022.0,Trinidad and Tobago,61.7037037037037
12177,2022.0,Venezuela,62.19502074688797
12178,2022.0,Malta,2.926517571884984
12179,2022.0,Guyana,93.34745762711864
12682,2022.0,Belize,69.38571428571429
12683,2022.0,Colombia,61.08638382600704
12684,2022.0,Fiji,73.54841402337229
12685,2022.0,Italy,14.184968152866242
12686,2022.0,Lebanon,34.596774193548384
12687,2022.0,Montenegro,41.63217953594523
12688,2022.0,Portugal,21.157022106631988
12689,2022.0,Saudi Arabia,107.5391304347826
12690,2022.0,W. Sahara,13.333333333333334
12691,2022.0,United Arab Emirates,2.074792243767313
13500,2022.0,Belarus,44.25059780009565
13501,2022.0,Bulgaria,13.217123287671232
13502,2022.0,Congo,92.46184472461844
13503,2022.0,Greenland,26.51582278481013
13504,2022.0,Suriname,79.40055248618785
13505,2022.0,North Korea,180.6590257879656
14012,2022.0,Mauritius,45.65150544522742
14510,2022.0,Brazil,56.30213333333333
14511,2022.0,Kenya,47.36486486486486
14512,2022.0,Mongolia,39.42128121606949
14513,2022.0,Vanuatu,123.32546266751756
14514,2022.0,Netherlands,21.61782382921435
14515,2022.0,Uzbekistan,67.83804627249357
14516,2022.0,Cape Verde,51.020833333333336
15052,2022.0,Argentina,50.71996253679422
15053,2022.0,Egypt,57.34177215189873
15054,2022.0,Federated States of Micronesia,108.95432098765431
15055,2022.0,French Polynesia,41.296728971962615
15056,2022.0,South Korea,142.97035573122528
15057,2022.0,North Macedonia,13.028629856850715
15058,2022.0,Slovenia,29.909832209502905
15059,2022.0,Costa Rica,94.37406483790524
15466,2022.0,Canada,23.955561343352144
15467,2022.0,Greece,13.476825396825395
15468,2022.0,Tajikistan,85.16207455429497
15469,2022.0,Vietnam,60.83930487019953
15470,2022.0,Kazakhstan,87.48372093023256
15471,2022.0,Congo (Kinshasa),168.8082191780822
15472,2022.0,Midway Islands [United States},21.952380952380956
16328,2022.0,Bahrain,35.333333333333336
16329,2022.0,Burma,111.0348717948718
16330,2022.0,Northern Mariana Islands [United States],62.23917672107878
16331,2022.0,Gibraltar [United Kingdom],16.853591160220994
16332,2022.0,Hungary,17.326441102756892
16333,2022.0,Mozambique,86.65988909426987
16334,2022.0,South Africa,43.091784591194966
16335,2022.0,United Kingdom,22.191659355809
16336,2022.0,El Salvador,86.73056994818653
16789,2022.0,Kiribati,23.51274787535411
16790,2022.0,New Zealand,34.56548757170172
16791,2022.0,Saint Pierre and Miquelon [France],37.25
16792,2022.0,Equatorial Guinea,107.36363636363636
16793,2022.0,Côte d'Ivoire,77.69128409846972
17258,2022.0,American Samoa [United States],84.84816753926701
17259,2022.0,Sri Lanka,48.63204592901879
17260,2022.0,Switzerland,30.296884735202493
17261,2022.0,Nigeria,121.8013698630137
